org_train_loss,org_train_acc,org_train_f1,train_loss,train_acc,train_f1,org_valid_loss,org_valid_acc,org_valid_f1,valid_loss,valid_acc,valid_f1,min_valid_loss,minp_valid_loss,diff_train_loss,diff_valid_loss,diff_loss,dif_orgf_valid_loss,diff_PR,min_org_valid_loss,minp_org_valid_loss
0.097273856401444,0.810927672955975,0.795253411458213,0.073537416756153,0.933333333333333,0.932659932659933,0.117359898984432,0.843137254901961,0.837580100297284,0.107450097799301,0.666666666666667,0.555555555555555,0.036104302853346,,0,0,0,0,0,0.073751896619797,
0.08850160241127,0.825275157232704,0.819944158817744,0.05399588868022,0.866666666666667,0.861111111111111,0.082823388278484,0.874331550802139,0.869969578444155,0.051831897348166,1,1,0.036104302853346,,-0.019541528075934,-0.055618200451136,0,-0.034536510705948,0,0.073751896619797,
0.051343616098166,0.885809748427673,0.887772175633207,0.019592877477408,1,1,0.080952718853951,0.873440285204991,0.869498443309178,0.047123778611422,1,1,0.036104302853346,,-0.034403011202812,-0.004708118736744,0,-0.001870669424534,0,0.073751896619797,
0.019906485453248,0.959905660377358,0.960106895198204,0.003998400643468,1,1,0.08078820258379,0.875222816399287,0.871812762415384,0.043510440737009,1,1,0.036104302853346,,-0.01559447683394,-0.003613337874413,0,-0.000164516270161,0,0.073751896619797,
0.030793832615018,0.936910377358491,0.937500636430492,0.015068306587637,1,1,0.086428292095661,0.866310160427807,0.86300053680692,0.0495386980474,1,1,0.036104302853346,,0.011069905944169,0.00602825731039,0,0.005640089511871,0,0.073751896619797,
0.013350080698729,0.974056603773585,0.974154265744185,0.003460522741079,1,1,0.079531744122505,0.879679144385027,0.876606879798111,0.041573978960514,1,1,0.036104302853346,,-0.011607783846557,-0.007964719086885,0,-0.006896547973156,0,0.073751896619797,
0.005074153654277,0.991352201257862,0.991351619522254,0.000251370307524,1,1,0.079126447439194,0.878787878787879,0.875131339912604,0.043811798095703,1,1,0.036104302853346,,-0.003209152433556,0.002237819135189,1,-0.000405296683311,1,0.073751896619797,
0.026434574276209,0.94811320754717,0.947548120746084,0.010823405347765,1,1,0.081072330474854,0.873440285204991,0.870072425072359,0.043361183255911,1,1,0.036104302853346,,0.010572035040241,-0.000450614839792,1,0.00194588303566,1,0.073751896619797,
0.022251658141613,0.954205974842767,0.954569718577628,0.007311289664358,1,1,0.083509996533394,0.874331550802139,0.870754760376398,0.0461815148592,1,1,0.036104302853346,,-0.003512115683407,0.002820331603289,1,0.00243766605854,0,0.073751896619797,
0.004138255491853,0.99253144654088,0.992521621763408,0.000234069550061,1,1,0.081352889537811,0.876114081996435,0.872194042023836,0.045153349637985,1,1,0.036104302853346,,-0.007077220114297,-0.001028165221214,0,-0.002157106995583,0,0.073751896619797,
0.015990586951375,0.968160377358491,0.968016712173622,0.001806026208214,1,1,0.079137101769447,0.879679144385027,0.876091455588233,0.042490098625422,1,1,0.036104302853346,,0.001571956658154,-0.002663251012564,1,-0.002215787768364,0,0.073751896619797,
0.001820561592467,0.996462264150943,0.996463934273151,0.000145221987623,1,1,0.07786451280117,0.882352941176471,0.878688693780363,0.041965629905462,1,1,0.036104302853346,,-0.001660804220592,-0.000524468719959,0,-0.001272588968277,0,0.073751896619797,
0.003060672665015,0.993907232704402,0.993913405118713,0.000302810803987,1,1,0.077360063791275,0.880570409982175,0.877522392072046,0.038621667772532,1,1,0.036104302853346,,0.000157588816364,-0.003343962132931,1,-0.000504449009895,0,0.073751896619797,
0.012341072782874,0.975825471698113,0.975868521638222,0.001079064095393,1,1,0.081282302737236,0.874331550802139,0.870479292197111,0.0442367605865,1,1,0.036104302853346,,0.000776253291406,0.005615092813969,0,0.003922238945961,0,0.073751896619797,
0.001560044125654,0.997248427672956,0.997250304798443,0.000101663456007,1,1,0.080123096704483,0.877005347593583,0.873505049691631,0.042567815631628,1,1,0.036104302853346,,-0.000977400639385,-0.001668944954872,0,-0.001159206032753,0,0.073751896619797,
0.001949264202267,0.996069182389937,0.996069068414498,0.000124456229969,1,1,0.079979926347733,0.877005347593583,0.872927238213418,0.044626440852881,1,1,0.036104302853346,,2.27927739615552E-05,0.002058625221252,0,-0.00014317035675,1,0.073751896619797,
0.001397439860739,0.997838050314465,0.997837872470602,3.91644643968902E-05,1,1,0.077050857245922,0.884135472370767,0.880751788600538,0.040039476007223,1,1,0.036104302853346,,-8.52917655720376E-05,-0.004586964845657,0,-0.00292906910181,0,0.073751896619797,
0.011140536516905,0.977201257861635,0.977012044709971,0.00136794091668,1,1,0.077057562768459,0.882352941176471,0.878775326349807,0.040758680552244,1,1,0.036104302853346,,0.001328776452283,0.000719204545021,0,6.70552253723145E-06,0,0.073751896619797,
0.004899403546005,0.98938679245283,0.989348763385788,0.000703226658516,1,1,0.078644029796124,0.879679144385027,0.87633524684271,0.040458116680384,1,1,0.036104302853346,,-0.000664714258164,-0.000300563871861,0,0.001586467027664,1,0.073751896619797,
0.002562823705375,0.995676100628931,0.995682764459786,0.000147805985762,1,1,0.077821046113968,0.882352941176471,0.878571428571429,0.042909566313028,1,1,0.036104302853346,,-0.000555420672754,0.002451449632645,1,-0.000822983682156,1,0.073751896619797,
0.00434825476259,0.991941823899371,0.991936207570492,0.001051135943271,1,1,0.076839976012707,0.882352941176471,0.879028463890849,0.039192456752062,1,1,0.036104302853346,,0.000903329957509,-0.003717109560967,1,-0.000981070101261,0,0.073751896619797,
