dataset,n_classes,features,sample_rate,noise_rate,epochs,batch_size,restore_best,model,data_length_time,n_h_block,n_train_h_block,n_valid_h_block,n_test_h_block,h_moving_step,segments_times,segments_overlaps,decision_times,decision_overlaps,inner_classifier,datetime,running_time,n_params,Core_mse_loss_mean,Core_mse_loss_std,Core_mse_loss_max,Core_mse_loss_min,Core_accuracy_mean,Core_accuracy_std,Core_accuracy_max,Core_accuracy_min,Core_precision_mean,Core_precision_std,Core_precision_max,Core_precision_min,Core_recall_mean,Core_recall_std,Core_recall_max,Core_recall_min,Core_f1_mean,Core_f1_std,Core_f1_max,Core_f1_min,MV_mse_loss_mean,MV_mse_loss_std,MV_mse_loss_max,MV_mse_loss_min,MV_accuracy_mean,MV_accuracy_std,MV_accuracy_max,MV_accuracy_min,MV_precision_mean,MV_precision_std,MV_precision_max,MV_precision_min,MV_recall_mean,MV_recall_std,MV_recall_max,MV_recall_min,MV_f1_mean,MV_f1_std,MV_f1_max,MV_f1_min,MS_mse_loss_mean,MS_mse_loss_std,MS_mse_loss_max,MS_mse_loss_min,MS_accuracy_mean,MS_accuracy_std,MS_accuracy_max,MS_accuracy_min,MS_precision_mean,MS_precision_std,MS_precision_max,MS_precision_min,MS_recall_mean,MS_recall_std,MS_recall_max,MS_recall_min,MS_f1_mean,MS_f1_std,MS_f1_max,MS_f1_min
datasets/RSSI/,12,"['rssiOne', 'rssiTwo']",1,100,20,32,1,CNN_L,-1,6,4,1,1,1,00:00:04,0.75,00:01:00,0,CNN_L,2022:03:28 22:56:46,185 seconds,87228,0.071894261,0.001166095,0.073453933,0.070657037,0.221095518,0.014342886,0.241738343,0.201901313,0.195646798,0.022449543,0.238590091,0.175945175,0.219474205,0.014054694,0.239948408,0.201595425,0.174022169,0.013933897,0.194821826,0.152835402,0.069433731,0.002542627,0.072773516,0.066408068,0.305882353,0.075788816,0.411764706,0.205882353,0.173272561,0.100260387,0.322420635,0.060897436,0.294444444,0.075767676,0.388888889,0.194444444,0.186447118,0.078652603,0.284722222,0.091856061,0.068251634,0.000805502,0.069704935,0.067610495,0.394117647,0.051281164,0.470588235,0.323529412,0.209763709,0.048715415,0.26547619,0.144047619,0.377777778,0.051520103,0.444444444,0.305555556,0.258681874,0.050847765,0.318253968,0.185683761
datasets/RSSI/,12,"['rssiOne', 'rssiTwo']",1,100,20,32,1,MLP,-1,6,4,1,1,1,00:00:04,0.75,00:01:00,0,MLP,2022:03:28 22:58:23,97 seconds,21516,0.072611678,0.000979947,0.073907614,0.071366936,0.199456768,0.016253148,0.229515618,0.183340878,0.16912099,0.026077832,0.203185413,0.132142837,0.198385425,0.014910463,0.225320505,0.183326587,0.155860142,0.01135425,0.172005846,0.141471039,0.073294349,0.001452386,0.075054772,0.070720106,0.247058824,0.023529412,0.294117647,0.235294118,0.108439454,0.019648534,0.141071429,0.089856902,0.238888889,0.022222222,0.277777778,0.222222222,0.133045931,0.010520461,0.152963703,0.121572872,0.069539712,0.00049629,0.070259631,0.069027908,0.264705882,0.041594517,0.323529412,0.205882353,0.120464767,0.021859642,0.159722222,0.094907407,0.255555556,0.032394177,0.305555556,0.222222222,0.153267103,0.022998014,0.191666667,0.119191919
datasets/RSSI/,12,"['rssiOne', 'rssiTwo']",1,100,20,32,1,CNN_L,-1,6,4,1,1,1,00:01:00,0.75,00:01:00,0,CNN_L,2022:03:28 23:14:27,60 seconds,1004732,0.071413046,0.005097755,0.075723097,0.06222178,0.304672897,0.059871467,0.420560748,0.252336449,0.286297424,0.056670753,0.395671431,0.235416326,0.302744709,0.05939715,0.418154762,0.252414021,0.252143245,0.073758365,0.388700889,0.172647544,0.115887854,0.009978578,0.124610595,0.096573211,0.304672897,0.059871467,0.420560748,0.252336449,0.286297424,0.056670753,0.395671431,0.235416326,0.302744709,0.05939715,0.418154762,0.252414021,0.252143245,0.073758365,0.388700889,0.172647544,0.071413046,0.005097755,0.075723097,0.06222178,0.304672897,0.059871467,0.420560748,0.252336449,0.286297424,0.056670753,0.395671431,0.235416326,0.302744709,0.05939715,0.418154762,0.252414021,0.252143245,0.073758365,0.388700889,0.172647544
datasets/RSSI/,12,"['rssiOne', 'rssiTwo']",1,100,20,32,1,MLP,-1,6,4,1,1,1,00:01:00,0.75,00:01:00,0,MLP,2022:03:28 23:14:41,14 seconds,136204,0.067746753,0.005566698,0.072723918,0.057516273,0.325233645,0.08512372,0.46728972,0.23364486,0.284593809,0.102911992,0.431117494,0.154613095,0.320185185,0.090096565,0.471792328,0.223611111,0.276840742,0.088782724,0.405122602,0.165272922,0.112461062,0.014187288,0.127725855,0.088785045,0.325233645,0.08512372,0.46728972,0.23364486,0.284593809,0.102911992,0.431117494,0.154613095,0.320185185,0.090096565,0.471792328,0.223611111,0.276840742,0.088782724,0.405122602,0.165272922,0.067746753,0.005566698,0.072723918,0.057516273,0.325233645,0.08512372,0.46728972,0.23364486,0.284593809,0.102911992,0.431117494,0.154613095,0.320185185,0.090096565,0.471792328,0.223611111,0.276840742,0.088782724,0.405122602,0.165272922
datasets/RSSI/,12,"['rssiOne', 'rssiTwo']",1,100,20,32,1,KNN,-1,6,4,1,1,1,00:01:00,0.75,00:01:00,0,KNN,2022:03:28 23:14:43,2 seconds,-1,0.091433021,0.009734888,0.102803737,0.075545177,0.278504673,0.068269093,0.411214953,0.214953271,0.301658074,0.038922615,0.352068558,0.252195027,0.272546296,0.066307805,0.40162037,0.213194444,0.234187409,0.046862913,0.313088783,0.179258321,0.120249227,0.011378184,0.130841136,0.098130845,0.278504673,0.068269093,0.411214953,0.214953271,0.301658074,0.038922615,0.352068558,0.252195027,0.272546296,0.066307805,0.40162037,0.213194444,0.234187409,0.046862913,0.313088783,0.179258321,0.091433021,0.009734888,0.102803737,0.075545177,0.278504673,0.068269093,0.411214953,0.214953271,0.301658074,0.038922615,0.352068558,0.252195027,0.272546296,0.066307805,0.40162037,0.213194444,0.234187409,0.046862913,0.313088783,0.179258321
datasets/RSSI/,12,"['rssiOne', 'rssiTwo']",1,100,20,32,1,LR,-1,6,4,1,1,1,00:01:00,0.75,00:01:00,0,LR,2022:03:28 23:14:45,1 seconds,-1,0.11869159,0.009103825,0.132398754,0.107476637,0.287850467,0.05462295,0.355140187,0.205607477,0.313323517,0.057720482,0.363003261,0.228777357,0.286825397,0.057812634,0.357142857,0.198611111,0.278166472,0.052824925,0.348178018,0.200918893,0.11869159,0.009103825,0.132398754,0.107476637,0.287850467,0.05462295,0.355140187,0.205607477,0.313323517,0.057720482,0.363003261,0.228777357,0.286825397,0.057812634,0.357142857,0.198611111,0.278166472,0.052824925,0.348178018,0.200918893,0.11869159,0.009103825,0.132398754,0.107476637,0.287850467,0.05462295,0.355140187,0.205607477,0.313323517,0.057720482,0.363003261,0.228777357,0.286825397,0.057812634,0.357142857,0.198611111,0.278166472,0.052824925,0.348178018,0.200918893
datasets/RSSI/,12,"['rssiOne', 'rssiTwo']",1,100,20,32,1,RF,-1,6,4,1,1,1,00:01:00,0.75,00:01:00,0,RF,2022:03:28 23:14:48,3 seconds,-1,0.081619936,0.001427593,0.083333336,0.080218069,0.11588785,0.018313942,0.130841121,0.093457944,0.092543025,0.052899951,0.174757282,0.007788162,0.112268519,0.02000675,0.133101852,0.083333333,0.053832737,0.025850421,0.075262055,0.014245014,0.147352025,0.003052333,0.151090354,0.144859806,0.11588785,0.018313942,0.130841121,0.093457944,0.092543025,0.052899951,0.174757282,0.007788162,0.112268519,0.02000675,0.133101852,0.083333333,0.053832737,0.025850421,0.075262055,0.014245014,0.081619936,0.001427593,0.083333336,0.080218069,0.11588785,0.018313942,0.130841121,0.093457944,0.092543025,0.052899951,0.174757282,0.007788162,0.112268519,0.02000675,0.133101852,0.083333333,0.053832737,0.025850421,0.075262055,0.014245014
datasets/RSSI/,12,"['rssiOne', 'rssiTwo']",1,100,20,32,1,SVM,-1,6,4,1,1,1,00:01:00,0.75,00:01:00,0,SVM,2022:03:28 23:14:53,4 seconds,-1,0.122741435,0.009520689,0.137071654,0.11370717,0.263551402,0.057124138,0.317757009,0.177570093,0.276291906,0.057563062,0.329951992,0.180092593,0.263029101,0.059713268,0.320899471,0.171064815,0.247691807,0.056653403,0.303056562,0.173278951,0.122741435,0.009520689,0.137071654,0.11370717,0.263551402,0.057124138,0.317757009,0.177570093,0.276291906,0.057563062,0.329951992,0.180092593,0.263029101,0.059713268,0.320899471,0.171064815,0.247691807,0.056653403,0.303056562,0.173278951,0.122741435,0.009520689,0.137071654,0.11370717,0.263551402,0.057124138,0.317757009,0.177570093,0.276291906,0.057563062,0.329951992,0.180092593,0.263029101,0.059713268,0.320899471,0.171064815,0.247691807,0.056653403,0.303056562,0.173278951
datasets/PRSA2017/,12,"['PM2.5', 'PM10', 'SO2', 'NO2', 'CO', 'O3', 'TEMP', 'PRES', 'DEWP', 'RAIN', 'wd', 'WSPM']",1,100,20,32,1,CNN_L,-1,15,9,2,4,1,00:00:15,0.75,00:15:00,0,CNN_L,2022:03:29 01:28:36,4253 seconds,269372,0.05757617,0.003398298,0.063062757,0.052402392,0.440784398,0.030429577,0.491320189,0.393449064,0.437990432,0.027520557,0.474974726,0.385407676,0.440784398,0.030429577,0.491320189,0.393449064,0.425049778,0.031869292,0.472765642,0.374832112,0.038459059,0.003591869,0.044095322,0.032733172,0.712962963,0.054778517,0.805555556,0.62037037,0.706786319,0.072918549,0.825,0.57801489,0.712962963,0.054778517,0.805555556,0.62037037,0.671662116,0.05836348,0.776941596,0.562326489,0.044420581,0.002231082,0.048722871,0.040853851,0.730555556,0.047113164,0.824074074,0.675925926,0.732358161,0.080184262,0.896885522,0.630787037,0.730555556,0.047113164,0.824074074,0.675925926,0.695028736,0.056449946,0.809722738,0.626613999
datasets/PRSA2017/,12,"['PM2.5', 'PM10', 'SO2', 'NO2', 'CO', 'O3', 'TEMP', 'PRES', 'DEWP', 'RAIN', 'wd', 'WSPM']",1,100,20,32,1,MLP,-1,15,9,2,4,1,00:00:15,0.75,00:15:00,0,MLP,2022:03:29 01:55:33,1616 seconds,197644,0.064185855,0.002654903,0.068152823,0.061019126,0.373396199,0.022777961,0.405593656,0.333690527,0.366782841,0.02300951,0.402466856,0.324159382,0.373396199,0.022777961,0.405593656,0.333690527,0.358420025,0.024266658,0.395447448,0.316959525,0.04514304,0.003068247,0.050256543,0.040905762,0.633333333,0.055431961,0.722222222,0.555555556,0.622070404,0.068369737,0.781870172,0.535252942,0.633333333,0.055431961,0.722222222,0.555555556,0.595106063,0.060111505,0.698369029,0.502350148,0.049948712,0.002032297,0.05336396,0.04749554,0.642592593,0.052574332,0.731481481,0.564814815,0.622593396,0.070924383,0.77853721,0.518925519,0.642592593,0.052574332,0.731481481,0.564814815,0.603201792,0.05781265,0.699924014,0.507827499
datasets/PRSA2017/,12,"['PM2.5', 'PM10', 'SO2', 'NO2', 'CO', 'O3', 'TEMP', 'PRES', 'DEWP', 'RAIN', 'wd', 'WSPM']",1,100,20,32,1,KNN,-1,15,9,2,4,1,00:00:15,0.75,00:15:00,0,KNN,2022:03:29 04:02:44,7631 seconds,-1,0.08611142,0.001229351,0.087890521,0.084038846,0.171420917,0.009805404,0.187205315,0.158165452,0.334789218,0.037803769,0.38550453,0.28211636,0.171420917,0.009805404,0.187205315,0.158165452,0.15003512,0.014736127,0.174131022,0.128994203,0.108983082,0.002920677,0.115150347,0.105501398,0.113888889,0.010994761,0.12962963,0.101851852,0.09049758,8.14E-05,0.090614887,0.090408805,0.113888889,0.010994761,0.12962963,0.101851852,0.056771309,0.011949303,0.072916667,0.043346509,0.068587131,0.000923073,0.070396051,0.067518778,0.456481481,0.052058121,0.527777778,0.37037037,0.484121304,0.081176326,0.667540793,0.325744048,0.456481481,0.052058121,0.527777778,0.37037037,0.382791208,0.049982525,0.475735238,0.310749017
datasets/PRSA2017/,12,"['PM2.5', 'PM10', 'SO2', 'NO2', 'CO', 'O3', 'TEMP', 'PRES', 'DEWP', 'RAIN', 'wd', 'WSPM']",1,100,20,32,1,LR,-1,15,9,2,4,1,00:00:15,0.75,00:15:00,0,LR,2022:03:29 04:12:37,592 seconds,-1,0.129311046,0.002330423,0.133465841,0.125768259,0.224135591,0.013982464,0.245392199,0.19920703,0.206747259,0.01253801,0.221861742,0.186604512,0.224135591,0.013982464,0.245392199,0.19920703,0.205797921,0.011625764,0.224434594,0.188412111,0.063729481,0.001898982,0.066601567,0.060511526,0.375925926,0.049552178,0.453703704,0.305555556,0.345463352,0.069116229,0.491765517,0.232831231,0.375925926,0.049552178,0.453703704,0.305555556,0.319790774,0.042435216,0.393406104,0.254002514,0.063729481,0.001898982,0.066601567,0.060511526,0.375925926,0.049552178,0.453703704,0.305555556,0.345463352,0.069116229,0.491765517,0.232831231,0.375925926,0.049552178,0.453703704,0.305555556,0.319790774,0.042435216,0.393406104,0.254002514
datasets/PRSA2017/,12,"['PM2.5', 'PM10', 'SO2', 'NO2', 'CO', 'O3', 'TEMP', 'PRES', 'DEWP', 'RAIN', 'wd', 'WSPM']",1,100,20,32,1,RF,-1,15,9,2,4,1,00:00:15,0.75,00:15:00,0,RF,2022:03:29 04:32:13,1176 seconds,-1,0.081701641,0.000261666,0.082175508,0.081336118,0.108244035,0.004314074,0.11505215,0.099478497,0.472534608,0.096353905,0.647907799,0.315893302,0.108244035,0.004314074,0.11505215,0.099478497,0.054806439,0.005152722,0.060561568,0.042471603,0.144430937,0.001534763,0.147097856,0.142052099,0.087037037,0.006141898,0.101851852,0.083333333,0.031970527,0.038227977,0.090408805,0.006944444,0.087037037,0.006141898,0.101851852,0.083333333,0.01922855,0.010412277,0.043346509,0.012820513,0.079527071,0.000546117,0.080674648,0.078729816,0.291666667,0.030216979,0.351851852,0.25,0.4190534,0.098108139,0.614620963,0.310590278,0.291666667,0.030216979,0.351851852,0.25,0.251343991,0.036237674,0.316431514,0.185816425
datasets/PRSA2017/,12,"['PM2.5', 'PM10', 'SO2', 'NO2', 'CO', 'O3', 'TEMP', 'PRES', 'DEWP', 'RAIN', 'wd', 'WSPM']",1,100,20,32,1,SVM,-1,15,9,2,4,1,00:00:15,0.75,00:15:00,0,SVM,2022:03:29 06:19:51,6458 seconds,-1,0.131924514,0.002107222,0.135031492,0.129078284,0.208454779,0.012643296,0.225532219,0.18981283,0.184970078,0.01137898,0.201224707,0.166888602,0.208454779,0.012643296,0.225532219,0.18981283,0.179107491,0.010169576,0.193636151,0.165866657,0.067938951,0.001925225,0.070318952,0.064801574,0.313888889,0.040877296,0.37962963,0.259259259,0.249591506,0.054203528,0.345377332,0.142711184,0.313888889,0.040877296,0.37962963,0.259259259,0.238625755,0.03576153,0.300496096,0.169411745,0.067938951,0.001925225,0.070318952,0.064801574,0.313888889,0.040877296,0.37962963,0.259259259,0.249591506,0.054203528,0.345377332,0.142711184,0.313888889,0.040877296,0.37962963,0.259259259,0.238625755,0.03576153,0.300496096,0.169411745
