,loss,accuracy,f1_metric,pesl,val_loss,val_accuracy,val_f1_metric,org_valid_loss,valid_loss,ms_uqm_mse,ms_uqm_acc,ms_uqm_f1,diff_org_loss,diff_loss,diff_PR
0,2.374969005584717,0.2578664720058441,0.1685519516468048,0.12031304091215134,2.2270617485046387,0.27460628747940063,0.136275977,0.11542599648237228,0.11420153826475143,0.060334978,0.2413793103448276,0.076183432,0,0,0
1,1.8586143255233765,0.38027629256248474,0.32549726963043213,0.10172423720359802,2.139380693435669,0.3001968562602997,0.20073698461055756,0.11233648657798767,0.1121380403637886,0.058271475,0.2413793103448276,0.080304311,-0.00308951,-0.002063498,6.3752E-06
2,1.6490070819854736,0.4374520480632782,0.3851648271083832,0.092851304,2.150486469268799,0.32972440123558044,0.189531609,0.11044751107692719,0.099616624,0.055543993,0.3793103448275862,0.2562437562437563,-0.001888976,-0.012521416,2.36526E-05
3,1.4461603164672852,0.5130468010902405,0.4326431453227997,0.082815267,2.0987093448638916,0.3681102395057678,0.22397442162036896,0.10740785300731659,0.096346147,0.054721982,0.41379310344827586,0.26394716394716394,-0.003039658,-0.003270477,9.94113E-06
4,1.241964340209961,0.566769004,0.508429229,0.073597342,2.0692994594573975,0.375,0.23145444691181183,0.10665301233530045,0.10303324460983276,0.056512131657419966,0.3448275862068966,0.24592074592074592,-0.000754841,0.006687097,-5.04769E-06
5,1.0939619541168213,0.6266308426856995,0.5856847167015076,0.064694248,2.008723258972168,0.39665353298187256,0.2779499888420105,0.10405158996582031,0.094469942,0.052845783039603675,0.41379310344827586,0.27027972027972025,-0.002601422,-0.008563302,2.22768E-05
6,1.0133970975875854,0.656945527,0.6223516464233398,0.060356628,1.9823296070098877,0.4074803292751312,0.29147258400917053,0.10277726501226425,0.090188883,0.051013207664813084,0.4482758620689655,0.2654012654012654,-0.001274325,-0.004281059,5.45546E-06
7,0.9078960418701172,0.6761320233345032,0.6581931114196777,0.056119036,2.011031150817871,0.38484251499176025,0.2863371968269348,0.10558133572340012,0.10065243393182755,0.054131311,0.3448275862068966,0.324969475,0.002804071,0.010463551,2.93405E-05
8,0.8488193154335022,0.705679178,0.6815445423126221,0.052036464,2.091643810272217,0.38090550899505615,0.29705822467803955,0.10731619596481323,0.091774859,0.050150695,0.41379310344827586,0.27705627705627706,0.00173486,-0.008877575,-1.54014E-05
9,0.7914844155311584,0.7221795916557312,0.7131017446517944,0.048665926,2.1194565296173096,0.38779526948928833,0.31317150592803955,0.10651922971010208,0.09322454,0.051600387,0.41379310344827586,0.2954635108481262,-0.000796966,0.001449682,-1.15535E-06
10,0.7413802742958069,0.7402148842811584,0.7308062314987183,0.045857518911361694,2.1461222171783447,0.3700787425041199,0.3267146646976471,0.10907810181379318,0.088482402,0.04930672,0.4482758620689655,0.313014763,0.002558872,-0.004742138,-1.21345E-05
11,0.6920022964477539,0.7570989727973938,0.746690035,0.042857661843299866,2.0821330547332764,0.41240158677101135,0.34599363803863525,0.10309623181819916,0.092617318,0.053441632,0.4482758620689655,0.29997182304874614,-0.00598187,0.004134916,-2.47345E-05
12,0.6444038152694702,0.770529568,0.7659245729446411,0.040464636,2.182379961013794,0.3868110179901123,0.33895471692085266,0.10720844566822052,0.096477725,0.054853564366938876,0.41379310344827586,0.28145188145188144,0.004112214,0.003860407,1.58748E-05
13,0.6079087257385254,0.7866461873054504,0.7877384424209595,0.037655983,2.187560796737671,0.3779527544975281,0.3399289548397064,0.10837364196777344,0.085914984,0.049187782,0.4827586206896552,0.30452880452880454,0.001165196,-0.01056274,-1.23077E-05
14,0.5694730877876282,0.7993093132972717,0.7968274354934692,0.035687692,2.1513686180114746,0.4104330837726593,0.3645307719707489,0.10508199036121368,0.085379943,0.048652750852689886,0.4827586206896552,0.32905982905982906,-0.003291652,-0.000535041,1.76117E-06
15,0.5901646614074707,0.7920184135437012,0.8032388687133789,0.036708373576402664,2.2214529514312744,0.3897637724876404,0.3596649169921875,0.10670637339353561,0.081862614,0.047583888,0.5172413793103449,0.41336996336996334,0.001624383,-0.00351733,-5.71349E-06
16,0.5334079265594482,0.8115886449813843,0.8136422038078308,0.033289145678281784,2.1788277626037598,0.39960628747940063,0.37500637769699097,0.10544667392969131,0.085837595,0.049110393,0.4827586206896552,0.30250305250305254,-0.001259699,0.003974982,-5.00728E-06
17,0.4852845370769501,0.8277053236961365,0.8339815139770508,0.030490719,2.365356922149658,0.38090550899505615,0.3557192087173462,0.10967050492763519,0.091089301,0.051913616090443336,0.4482758620689655,0.3487179487179487,0.004223831,0.005251706,2.21823E-05
18,0.4812564551830292,0.8415195941925049,0.8363255858421326,0.028954895213246346,2.300652027130127,0.41535434126853943,0.38408732414245605,0.10483644157648087,0.087412141,0.050684936572701574,0.4827586206896552,0.3869463869463869,-0.004834063,-0.00367716,1.77756E-05
19,0.47817742824554443,0.8349961638450623,0.8327837586402893,0.029839547351002693,2.3029298782348633,0.40354329347610474,0.37818852066993713,0.10620126873254776,0.086685292,0.047509614,0.4482758620689655,0.32125652125652127,0.001364827,-0.000726849,-9.92023E-07
20,0.44527220726013184,0.8388334512710571,0.8415602445602417,0.028436594,2.330822706222534,0.3986220359802246,0.3734125792980194,0.10698379576206207,0.086224563,0.049497368,0.4827586206896552,0.3613053613053613,0.000782527,-0.000460729,-3.60533E-07
21,0.4019416570663452,0.8614735007286072,0.8655466437339783,0.024679044261574745,2.3888983726501465,0.4055117964744568,0.37795358896255493,0.1064804345369339,0.080935732,0.049105494848446965,0.5517241379310345,0.40526140526140525,-0.000503361,-0.005288832,2.66219E-06
22,0.41111209988594055,0.8476592302322388,0.8526453971862793,0.026677126064896584,2.430083990097046,0.41633859276771545,0.3859517276287079,0.10652299970388412,0.094171457,0.052547302,0.41379310344827586,0.299034299,4.25652E-05,0.013235725,5.63381E-07
23,0.38837260007858276,0.8626247048377991,0.8651201128959656,0.024433317,2.4333600997924805,0.42421260476112366,0.3951139748096466,0.10393568873405457,0.090558693,0.053831499353331036,0.4827586206896552,0.3613053613053613,-0.002587311,-0.003612764,9.34734E-06
24,0.3796118497848511,0.8722179532051086,0.8693310618400574,0.023419905453920364,2.5006349086761475,0.4094488322734833,0.38936132192611694,0.10707367956638336,0.089656651,0.052929445642640766,0.4827586206896552,0.3498834498834499,0.003137991,-0.000902042,-2.8306E-06
25,0.37276220321655273,0.8718342185020447,0.87431854,0.023077419,2.573378324508667,0.4055117964744568,0.39359426498413086,0.10896632820367813,0.091391757,0.054664559,0.4827586206896552,0.3869463869463869,0.001892649,0.001735106,3.28395E-06
26,0.3469248414039612,0.8806599974632263,0.8816137313842773,0.021824371069669724,2.611607313156128,0.40059053897857666,0.3883167505264282,0.10899814963340759,0.097357206,0.055733041014337896,0.41379310344827586,0.324009324,3.18214E-05,0.005965449,1.89829E-07
27,0.3430202305316925,0.8775901794433594,0.8866252303123474,0.021623773500323296,2.624594211578369,0.4251968562602997,0.4046403765678406,0.1049107015132904,0.089300022,0.052572830063680354,0.4827586206896552,0.3613053613053613,-0.004087448,-0.008057185,3.29333E-05
28,0.33700042963027954,0.8825786709785461,0.8843709230422974,0.021185573,2.5431065559387207,0.43996062874794006,0.4276239573955536,0.10224691778421402,0.083078593,0.048799875,0.5172413793103449,0.3968083198852429,-0.002663784,-0.006221429,1.65725E-05
29,0.32476648688316345,0.8875671625137329,0.8903143405914307,0.020208208,2.6177659034729004,0.4143700897693634,0.3918900191783905,0.10769160836935043,0.090287901,0.053560695103344026,0.4827586206896552,0.3613053613053613,0.005444691,0.007209308,3.92525E-05
30,0.3043496608734131,0.8948580026626587,0.8993130922317505,0.019064737483859062,2.6283223628997803,0.44783464074134827,0.4301638603210449,0.10264996439218521,0.08705961,0.052780893,0.5172413793103449,0.3968083198852429,-0.005041644,-0.003228292,1.62759E-05
31,0.3025061786174774,0.9040675163269043,0.9045957922935486,0.018223609775304794,2.549135684967041,0.44389763474464417,0.4224546253681183,0.10225364565849304,0.08730875,0.050581553767200915,0.4827586206896552,0.3636363636363636,-0.000396319,0.00024914,-9.87388E-08
32,0.2883756756782532,0.9052187204360962,0.9070575833320618,0.017445068806409836,2.743058919906616,0.42421260476112366,0.4032556116580963,0.10703139007091522,0.091673374,0.052497697,0.4482758620689655,0.3599067599067599,0.004777744,0.004364625,2.08531E-05
33,0.2904878258705139,0.8990790247917175,0.9028997421264648,0.018127033,2.713007688522339,0.4301181137561798,0.4119047522544861,0.10586342215538025,0.08990413,0.053176925752595895,0.4827586206896552,0.4358974358974359,-0.001167968,-0.001769245,2.06642E-06
34,0.28683197498321533,0.9105909466743469,0.9072376489639282,0.016795252,2.725524663925171,0.4212598502635956,0.4078241288661957,0.10600128769874573,0.091197275,0.052021602,0.4482758620689655,0.3487179487179487,0.000137866,0.001293145,1.7828E-07
35,0.311559796,0.886799693,0.888465405,0.020139612,2.689852714538574,0.43208661675453186,0.4190230965614319,0.1051214337348938,0.081946485,0.050116255,0.5517241379310345,0.4884615384615385,-0.000879854,-0.00925079,8.13934E-06
36,0.24948886036872864,0.9171143770217896,0.9198419451713562,0.015086020343005657,2.8419318199157715,0.4133858382701874,0.39613068103790283,0.11033459007740021,0.089023881,0.054745163848616406,0.5172413793103449,0.4356643356643357,0.005213156,0.007077396,3.68956E-05
37,0.2504842281341553,0.9113584160804749,0.9119855165481567,0.016007302328944206,2.7987732887268066,0.4458661377429962,0.433930904,0.103510782,0.086543187,0.052264474,0.5172413793103449,0.44615384615384623,-0.006823808,-0.002480693,1.69278E-05
38,0.25960686802864075,0.9121258854866028,0.9136577844619751,0.016138918697834015,2.8100712299346924,0.44389763474464417,0.4278390407562256,0.10494130104780197,0.095527552,0.056351864,0.4482758620689655,0.34731934731934727,0.001430519,0.008984365,1.28523E-05
39,0.2541368305683136,0.9174980521202087,0.9183089137077332,0.015186394564807415,2.918041944503784,0.4409448802471161,0.43166038393974304,0.10587267577648163,0.093524225,0.056797028065537006,0.4827586206896552,0.4344988344988345,0.000931375,-0.002003327,-1.86585E-06
40,0.2424437552690506,0.9163469076156616,0.921279252,0.014892241917550564,2.726414442062378,0.45472440123558044,0.4495612680912018,0.1010240688920021,0.084444933,0.05016621,0.5172413793103449,0.44615384615384623,-0.004848607,-0.009079292,4.40219E-05
41,0.23569543659687042,0.9259401559829712,0.926544726,0.013704707,2.8577487468719482,0.43208661675453186,0.4249071776866913,0.10667970031499863,0.085656792,0.051378064,0.5172413793103449,0.44615384615384623,0.005655631,0.001211859,6.85383E-06
42,0.2122991532087326,0.933230996,0.9348878860473633,0.012719918973743916,2.8531761169433594,0.437007874,0.4242998957633972,0.10531505942344666,0.082741469,0.04846275,0.5172413793103449,0.4498834498834499,-0.001364641,-0.002915323,3.97837E-06
43,0.2300225794315338,0.9186492562294006,0.9260179400444031,0.014320850372314453,2.9017720222473145,0.4409448802471161,0.42347872257232666,0.10587435960769653,0.092833236,0.053657562,0.4482758620689655,0.3305361305361305,0.0005593,0.010091767,5.64433E-06
44,0.21417348086833954,0.933230996,0.9320611953735352,0.01267763,2.8445210456848145,0.45866140723228455,0.44056761264801025,0.10264190286397934,0.090590715,0.053863521202668824,0.4827586206896552,0.43682983682983684,-0.003232457,-0.00224252,7.24885E-06
45,0.20249322056770325,0.9297774434089661,0.9317968487739563,0.012665393762290478,2.8270537853240967,0.4724409580230713,0.4758507013320923,0.097916156,0.081418425,0.049588186,0.5517241379310345,0.4098619329388561,-0.004725747,-0.009172291,4.33459E-05
46,0.2042752057313919,0.932463527,0.9320726990699768,0.012515921145677567,2.858766794204712,0.45570865273475647,0.4408884644508362,0.10292424261569977,0.076887958,0.047506206,0.5862068965517241,0.4970414201183432,0.005008087,-0.004530467,-2.2689E-05
47,0.19302940368652344,0.9374520182609558,0.9372938275337219,0.011466979049146175,2.942841053009033,0.4458661377429962,0.4374507665634155,0.103871651,0.080138996,0.050757241,0.5862068965517241,0.5128205128205129,0.000947408,0.003251038,3.08006E-06
48,0.20260950922966003,0.9339984655380249,0.9358252286911011,0.012249065563082695,3.085676431655884,0.44389763474464417,0.43303948640823364,0.10579421371221542,0.082605883,0.050775642,0.5517241379310345,0.46107226107226107,0.001922563,0.002466887,4.74275E-06
49,0.19439780712127686,0.9320797920227051,0.9310764074325562,0.012173499912023544,2.9642975330352783,0.45570865273475647,0.4444245398044586,0.10314492881298065,0.084477045,0.052646800557999356,0.5517241379310345,0.4615384615384616,-0.002649285,0.001871161,-4.95724E-06
